usn,name,name_fr,usci_org,category,h_psn,parent_node
bsl,恒宇信通航空装备（北京）股份有限公司,恒宇信通航空装备（北京）股份有限公司,91110113743335987W,ent,i-root,not-applicable
bsm,常州创特信息技术有限公司,常州创特信息技术有限公司,91320411MA1R8N1M67,ent,i-root,not-applicable
bso,北京外企德科人力资源服务上海有限公司杭州分公司,北京外企德科人力资源服务上海有限公司杭州分公司,91330102MAC11FY61X,ent,i-root,not-applicable
bsp,安徽博物院（安徽省文物鉴定站）,安徽博物院（安徽省文物鉴定站）,12340000485003719L,pin,i-root,not-applicable
bsq,北京市人民政府国有资产监督管理委员会,北京市人民政府国有资产监督管理委员会,111100007541547007,gpo,i-root,not-applicable
bsj,上海汉得信息技术股份有限公司,上海汉得信息技术股份有限公司,9131000074027295XF,ent,i-root,not-applicable
bss,恒宇信通航空装备（北京）股份有限公司西安分公司,恒宇信通航空装备（北京）股份有限公司西安分公司,91610131783584013N,ent,i-root,not-applicable
bsk,南京中央商场（集团）股份有限公司,南京中央商场（集团）股份有限公司,91320100134881640F,ent,i-root,not-applicable
bsi,福建省自然资源地理信息中心（福建省基础地理遥感影像应用中心、高分辨率对地观测系统福建数据与应用中心）,福建省自然资源地理信息中心（福建省基础地理遥感影像应用中心、高分辨率对地观测系统福建数据与应用中心）,12350000MB1Q54987F,pin,i-root,not-applicable
