usn,name,name_fr,usci_org,category,h_psn,parent_node
bsh,北京国有资本运营管理有限公司,北京国有资本运营管理有限公司,91110000683551038C,ent,bsq,"{""usn"":""bsq"",""name_fr"":""北京市人民政府国有资产监督管理委员会""}"
bsn,盱眙润隆商业管理有限公司,盱眙润隆商业管理有限公司,91320830MA22P7J5X6,ent,bsr,"{""usn"":""bsr"",""name_fr"":""南京中央商场投资管理有限公司""}"
bsr,南京中央商场投资管理有限公司,南京中央商场投资管理有限公司,91320100745359886K,ent,bsk,"{""usn"":""bsk"",""name_fr"":""南京中央商场（集团）股份有限公司""}"
