oname_fr
京东集团
信发集团有限公司
北京三快在线科技有限公司（美团）
德龙钢铁有限公司
万向集团公司
天能控股集团有限公司
北京嘀嘀无限科技发展有限公司（滴滴出行）
冀南钢铁集团有限公司
雅戈尔集团股份有限公司
桐昆控股集团有限公司
多弗国际控股集团有限公司
中升（大连）集团有限公司
东方希望集团有限公司
河北新华联合冶金控股集团有限公司
TCL 科技集团股份有限公司
南山集团有限公司
河北津西钢铁集团股份有限公司
上海找钢网信息科技股份有限公司
卓尔控股有限公司
正泰集团股份有限公司
宁波金田投资控股有限公司
传化集团有限公司
利华益集团股份有限公司
山东东明石化集团有限公司
弘润石化（潍坊）有限责任公司
海澜集团有限公司
百度公司
上海均和集团有限公司
河北普阳钢铁有限公司
万达控股集团有限公司
永卓控股有限公司
超威集团
中基宁波集团股份有限公司
江苏新长江实业集团有限公司
天津荣程祥泰投资控股集团有限公司
三一集团有限公司
新城控股集团股份有限公司
富冶集团有限公司
福建大东海实业集团有限公司
河北鑫达钢铁集团有限公司
牧原实业集团有限公司
唯品会（中国）有限公司
新凤鸣控股集团有限公司
云账户技术（天津）有限公司
江西方大钢铁集团有限公司
山西鹏飞集团有限公司
中天控股集团有限公司
广西盛隆冶金有限公司
新疆特变电工集团有限公司
日照钢铁控股集团有限公司
方同舟控股有限公司
同程旅行集团
河北太行钢铁集团有限公司
浙江菜鸟供应链管理有限公司
海航航空集团有限公司
山东京博控股集团有限公司
富海集团新能源控股有限公司
恒申控股集团有限公司
双胞胎（集团）股份有限公司
四川省川威集团有限公司
奥克斯集团有限公司
武安市裕华钢铁有限公司
永荣控股集团有限公司
蓝润集团有限公司
立铠精密科技（盐城）有限公司
河北鑫海控股集团有限公司
杭州锦江集团有限公司
中景石化集团有限公司
恒信汽车集团股份有限公司
三房巷集团有限公司
巨星控股集团有限公司
远大物产集团有限公司
华泰集团有限公司
齐成（山东）石化集团有限公司
宁波富邦控股集团有限公司
红豆集团有限公司
东方润安集团有限公司
山东寿光鲁清石化有限公司
河北新金钢铁有限公司
美的置业集团有限公司
山东金诚石化集团有限公司
山东创新金属科技有限公司
德力西集团有限公司
山东太阳控股集团有限公司
红狮控股集团有限公司
浙江前程投资股份有限公司
弘阳集团有限公司
山东海科控股有限公司
陕西泰丰盛合控股集团有限公司
唐山港陆钢铁有限公司
河北新武安钢铁集团文安钢铁有限公司
山东齐润控股集团有限公司
杉杉控股有限公司
山东东方华龙工贸集团有限公司
兴华财富集团有限公司
内蒙古鄂尔多斯投资控股集团有限公司
修正药业集团
迁安市九江线材有限责任公司
宁夏天元锰业集团有限公司
青建集团股份公司
大华（集团）有限公司
浙江东南网架集团有限公司
三宝集团股份有限公司
宁波合盛集团有限公司
人民控股集团有限公司
山西建邦集团有限公司
大汉控股集团有限公司
永道控股集团股份有限公司
明阳新能源投资控股集团有限公司
鲁丽集团有限公司
山东渤海实业集团有限公司
山东垦利石化集团有限公司
山西晋城钢铁控股集团有限公司
宁夏宝丰集团有限公司
稻花香集团
内蒙古汇能煤电集团有限公司
华勤橡胶工业集团有限公司
通鼎集团有限公司
江苏满运软件科技有限公司
广西南丹南方金属有限公司
郑州中瑞实业集团有限公司
双良集团有限公司
杭州东恒石油有限公司
石横特钢集团有限公司
三花控股集团有限公司
龙信建设集团有限公司
福建省金纶高纤股份有限公司
蔚来控股有限公司
浙江升华控股集团有限公司
湖南博长控股集团有限公司
重庆新鸥鹏企业（集团）有限公司
浙江中成控股集团有限公司
五得利面粉集团有限公司
山西晋南钢铁集团有限公司
四川冶控集团有限公司
山东金岭集团有限公司
重庆市博赛矿业（集团）有限公司
胜星集团有限责任公司
远东控股集团有限公司
通州建总集团有限公司
福佳集团有限公司
河北千喜鹤饮食股份有限公司
金澳科技（湖北）化工有限公司
山东汇丰石化集团有限公司
重庆小康控股有限公司
攀华集团有限公司
山东泰山钢铁集团有限公司
新华三信息技术有限公司
河南金利金铅集团有限公司
卧龙控股集团有限公司
深圳海王集团股份有限公司
阿特斯阳光电力集团股份有限公司
四川德胜集团钒钛有限公司
天津华北集团有限公司
山东九羊集团有限公司
雅迪科技集团有限公司
内蒙古伊泰集团有限公司
瑞钢联集团有限公司
国华人寿保险股份有限公司
内蒙古蒙泰集团有限公司
深圳理士电源发展有限公司
天津亿联控股集团有限公司
青岛世纪瑞丰集团有限公司
淄博鑫泰石化有限公司
广东圣丰集团有限公司
万通海欣控股集团股份有限公司
江苏金峰水泥集团有限公司
万洋集团有限公司
佛山市兴海铜铝业有限公司
道恩集团有限公司
湖南五江控股集团有限公司
山东科达集团有限公司
浙江宝业建设集团有限公司
江苏天工新材料科技集团有限公司
太平鸟集团有限公司
上海韵达货运有限公司
新华锦集团有限公司
宁波中金石化有限公司
金田阳光投资集团有限公司
中新钢铁集团有限公司
日善电脑配件（嘉善）有限公司
桂林力源粮油食品集团有限公司
溧阳德龙金属科技有限公司
河北东海特钢集团有限公司
伟星集团有限公司
河北天山实业集团有限公司
花园集团有限公司
河北诚信集团有限公司
东莞华贝电子科技有限公司
上海归藏投资管理有限公司
北京运通国融投资集团有限公司
常熟市龙腾特种钢有限公司
六安钢铁控股集团有限公司
申通快递有限公司
森马集团有限公司
深圳市铜锣湾商业发展有限公司
泰地控股集团有限公司
江苏江润铜业有限公司
名城控股集团有限公司
河北新武安钢铁集团烘熔钢铁有限公司
荣民控股集团有限公司
长治市南烨实业集团有限公司
深圳市信利康供应链管理有限公司
浙江新湖集团股份有限公司
源山投资控股有限公司
波司登股份有限公司
山东恒信集团有限公司
德华集团控股股份有限公司
江苏万帮金之星车业投资集团有限公司
奥德集团有限公司
重庆华宇集团有限公司
永鼎集团有限公司
万丰奥特控股集团有限公司
天洁集团有限公司
滨化集团
中通快递股份有限公司
极兔速递有限公司
河南豫联能源集团有限责任公司
沙师弟（重庆）网络科技有限公司
中亿丰控股集团有限公司
无棣鑫岳化工集团有限公司
中盛世有限公司
河北安丰钢铁集团有限公司
江苏三木集团有限公司
四川渠心科技集团有限公司
上海均瑶（集团）有限公司
南通化工轻工股份有限公司
江苏徐钢钢铁集团有限公司
海外海集团有限公司
江阴市金桥化工有限公司
大亚科技集团有限公司
金东投资集团有限公司
雅鹿集团股份有限公司
宁波申洲针织有限公司
山西潞宝集团
利时集团股份有限公司
骆驼集团股份有限公司
江苏沃得机电集团有限公司
贵州通源集团
鸿翔控股集团有限公司
江苏江都建设集团有限公司
河北新武安钢铁集团鑫汇冶金有限公司
东方恒信集团有限公司
浙江建华集团有限公司
程力汽车集团股份有限公司
安徽天大企业（集团）有限公司
帝海投资控股集团有限公司
江苏省镔鑫钢铁集团有限公司
方远控股集团有限公司
广东正圣金属有限公司
浙江龙盛控股有限公司
天颂建设集团有限公司
亚厦控股有限公司
香驰控股有限公司
济源市万洋冶炼（集团）有限公司
一柏集团有限公司
华南物资集团有限公司
大自然钢业集团有限公司
江苏联鑫控股集团有限公司
齐鲁制药集团有限公司
致远控股集团有限公司
中建信控股集团有限公司
精工控股集团有限公司
连云港亚新钢铁有限公司
河北兴华钢铁有限公司
兴惠化纤集团有限公司
福建圣农控股集团有限公司
浙江中南建设集团有限公司
江苏国强镀锌实业有限公司
浙江富春江通信集团有限公司
江苏新霖飞投资有限公司
美欣达集团有限公司
月星集团有限公司
成都蛟龙港（成都蛟龙投资有限责任公司、成都蛟龙经济开发有限公司）
浙江协和集团有限公司
连云港兴鑫钢铁有限公司
南通建工集团股份有限公司
华芳集团有限公司
郑州宇通企业集团
久立集团股份有限公司
胜达集团有限公司
震雄铜业集团有限公司
西子联合控股有限公司
澳洋集团有限公司
福建百宏聚纤科技实业有限公司
江苏吴中集团有限公司
南京金鹰国际集团有限公司
联峰钢铁（张家港）有限公司
中哲控股集团有限公司
福星集团控股有限公司
深圳市东阳光实业发展有限公司
江苏无锡朝阳集团股份有限公司
新和成控股集团有限公司
江苏上上电缆集团有限公司
山东中海化工集团有限公司
金鹏控股集团有限公司
河南龙成集团有限公司
山西安泰控股集团有限公司
苏州金螳螂企业（集团）有限公司
合肥维天运通信息科技股份有限公司
江阴长三角钢铁集团有限公司
纳爱斯集团有限公司
河北天柱钢铁集团有限公司
浙江宝业住宅产业化有限公司
兴达投资集团有限公司
四联创业集团股份有限公司
舜宇集团有限公司
家家悦控股集团股份有限公司
中大控股集团有限公司
南通五建控股集团有限公司
江苏中超投资集团有限公司
江阴江东集团公司
江苏大经集团有限公司
万事利集团有限公司
天津天士力大健康产业投资集团有限公司
腾达建设集团股份有限公司
江苏华宏实业集团有限公司
江苏江中集团有限公司
公元塑业集团有限公司
广东小鹏汽车科技有限公司
广东联塑科技实业有限公司
宁波博洋控股集团有限公司
恒尊控股集团有限公司
江苏华地国际控股集团有限公司
南京新华海科技产业集团有限公司
西子国际控股有限公司
河南金汇不锈钢产业集团有限公司
无锡江南电缆有限公司
广州立白凯晟控股有限公司
荆门市格林美新材料有限公司
河南济源钢铁（集团）有限公司
河北冠丰冶金工业有限公司
日出实业集团有限公司
新疆农六师铝业有限公司
武汉联杰能源有限公司
鹰潭沪江铜基新材料有限公司
深圳华强集团有限公司
浙江国泰建设集团有限公司
安徽灵通集团控股有限公司
新阳科技集团有限公司
浙江元立金属制品集团有限公司
江苏扬子江船业集团有限公司
利群集团股份有限公司
湖北鑫资再生资源集团有限公司
江苏飞达控股集团有限公司
诸城外贸有限责任公司
新疆生产建设兵团第八师天山铝业有限公司
美锦能源集团有限公司
无锡华东重机科技集团有限公司
天津源泰德润钢管制造集团有限公司
山西锦绣大象农牧股份有限公司
唐山东华钢铁企业集团有限公司
宗申产业集团有限公司
黑龙江富祥供应链管理有限公司
潍坊特钢集团有限公司
云南玉溪玉昆钢铁集团有限公司
宜兴市紫金铜业有限公司
宁波君安控股有限公司
山东尚能投资控股集团有限公司
广东华鑫茂集团有限公司
一道新能源科技股份有限公司
永兴特种材料科技股份有限公司
江苏润阳新能源科技股份有限公司
